"x","y"
791429.794175044,6894958.94288636
791447.562416846,6895053.07996409
791689.371562667,6894894.804352
791811.286680993,6894934.27074316
791982.942648865,6894761.97909528
791695.709434572,6894901.54393639
791761.964898486,6894912.7983388
791736.921681123,6894899.53604686
791759.395981226,6894932.2535152
791327.35178685,6895081.80061341
791324.496198618,6895104.3536195
791722.081805357,6894890.72627303
784818.74054114,6894590.8560001
784811.004146632,6894764.62538169
784911.469607024,6894760.63053814
784903.393234715,6894547.86167844
784854.795288403,6894935.24750935
784892.220409284,6894897.84803047
784850.197813083,6894847.67962338
785538.944213842,6894946.79420746
784955.096617719,6894855.21658081
785362.888114367,6894997.55563021
784895.70633909,6894508.95262743
785223.6751474,6894819.11377807
785366.674689418,6894929.4848376
784987.869216488,6894682.33418225
785242.388132903,6894849.9933446
785278.523163842,6894596.28870056
785230.350976848,6894688.33011816
785164.781925204,6894689.32235257
784795.62437879,6894671.43129976
784879.061994303,6894867.98204297
785047.230986675,6894628.78304246
784989.312028546,6894665.16171531
784969.240166806,6894894.30946024
785112.722018489,6894794.17113762
785230.923306258,6894769.62677932
785195.287562057,6894744.36137031
785005.293625922,6894919.31023318
785260.926482184,6894753.74077215
785417.949924595,6894878.52023225
785139.977597712,6894590.24489991
785150.555758759,6894580.61035036
785230.710859943,6894729.70169573
784939.602809178,6894952.8243077
785366.314165055,6894761.62641522
785016.658667189,6894668.07343077
784829.698181818,6894509.6567108
785363.795008606,6894905.99982788
785192.9810899,6894657.85120248
785184.294005642,6894582.22079576
785328.433914138,6894958.5887007
784788.124490563,6894979.85101025
784896.803995361,6894949.79017809
784839.764380817,6894490.17071682
785069.614265528,6894585.37814059
785116.038897971,6894600.03963653
784818.573762593,6894419.68961892
785353.645566266,6894754.58934049
784869.822314376,6894772.81044159
785248.19200645,6894632.83205867
785053.558498372,6894829.30712085
785265.929090301,6894843.11291043
784804.827462718,6894901.37438744
785388.785057471,6894914.65
784797.176488348,6894444.84049439
785056.05878233,6894788.55095366
785573.177940706,6894983.42289867
784827.503856749,6894457.71790634
785496.837666578,6894924.6656694
784902.854310091,6894987.49605766
784798.582758621,6894521.63333333
785383.005279035,6894859.66500754
785220.993371332,6894582.84664345
785140.341666667,6894819.29166667
785125.893792631,6894807.01796634
785383.088562091,6894775.65424837
785151.879617834,6894642.45095541
784769.415376377,6894563.31768158
785212.567699421,6894790.21501167
784529.245732994,6895033.89504051
784597.003677054,6895019.51697916
784627.378680805,6894736.39619988
784771.851152927,6894789.4546283
784772.146324869,6894627.1345333
784781.645622903,6894935.17284944
784707.71776435,6894939.79429763
784710.722449924,6894686.99921436
784603.044382957,6895105.070481
784673.200959693,6894747.29929623
784689.149188735,6894968.54358929
784715.111427092,6894814.98809293
784735.85349057,6894585.82111634
784581.33105557,6894630.41964903
