"x","y"
395271.352235427,6897578.00299943
390484.160775979,6897213.99218026
390328.546285415,6896966.17835957
390210.793299468,6897727.32701983
388791.615145263,6897179.74468968
386847.796053608,6897407.83503692
384967.764177387,6897434.87954712
401429.020395205,6896679.99318901
397910.728590352,6896582.95379917
386947.002276271,6896388.45693795
386105.909218708,6896849.05115668
385610.613090002,6896587.61904521
384523.287150838,6896690.85460894
384256.165689559,6896894.5221533
382204.87498643,6896405.4571922
375092.335032362,6896538.52152103
402974.376365663,6895909.80734773
388858.994166495,6895685.12773317
384075.231933571,6896069.68163701
381806.400222623,6895790.47085263
396371.100470381,6894756.9829825
395958.235567255,6894538.41723487
396333.422672093,6894747.70494321
395013.217108331,6895008.28949197
395841.687995757,6894718.07557778
380546.308699633,6894787.42921245
376095.402368817,6894775.65596646
398992.81099787,6893952.97767686
376993.143584339,6893815.10629112
402652.395793167,6892921.41700092
402440.268365444,6892764.62641392
401561.313034227,6893247.21900516
397258.537781532,6893249.47737894
397097.213587691,6893355.49486533
396945.585025685,6893071.11636661
393688.33434471,6893611.40500122
392217.602112384,6893514.18072162
380714.94182623,6893391.29813156
377155.669824232,6893212.33492775
375696.060232924,6893402.92957222
397382.334394768,6892362.36820843
393800.813615968,6892636.38618031
392606.309345794,6892328.63909185
391492.326935758,6892470.36595605
376514.116800182,6892853.50815295
375989.829314703,6892740.60804001
375853.900498866,6892624.30956916
375658.638208294,6892387.96707819
375421.025851713,6892201.61478545
375345.045022096,6892255.92209719
398099.432380524,6891389.75900668
391680.798820059,6891295.51356932
382972.193477709,6891910.61986796
381082.840125209,6892081.73513868
376957.510683742,6891901.32338447
375726.538045224,6891958.82220438
375710.600939812,6892050.40291942
375366.575934004,6891644.54271937
375371.527569475,6892115.73268052
375288.954160004,6891366.78015125
401095.355506527,6890420.97820765
399201.523433958,6890387.43305113
394565.45929859,6890576.57926053
391444.387130147,6890955.08131595
391559.363522488,6891149.94891971
391454.16504065,6890945.13902439
400250.596518301,6889685.55445096
400080.963282772,6889714.24741627
399754.980875717,6889715.48156482
381986.558383035,6889716.79191518
380269.142643511,6889870.74422035
387471.24585102,6888993.41054036
387096.177406661,6889070.02547269
385089.035276141,6888877.04507749
398918.292575366,6888303.93524548
389766.726683123,6887977.10488602
385514.080108372,6888592.50312882
380323.966774202,6888234.25013039
376243.530772086,6888064.81941351
397095.533402494,6887546.29176773
385059.948427283,6887514.33460665
376090.920806765,6887706.38916078
401789.489172232,6886687.20625379
396614.38726434,6886829.80427865
377797.00733718,6887139.43555499
376019.375029446,6886926.14581861
396690.829491768,6885740.6100692
384869.523399696,6885800.62912538
378410.3131037,6885755.98241297
401512.745824162,6885306.08680735
393938.783877373,6884767.71097603
390384.624695475,6885260.71090732
401659.642541436,6884231.28303663
376232.627148875,6884297.87878954
401826.650550442,6883385.527865
372939.651155542,6883549.3066317
403305.433450642,6882782.73460595
403313.147161692,6882812.73434353
403118.601169956,6882514.13763508
403093.219427865,6882448.96570415
402741.468413454,6882362.12931216
391416.726405513,6882215.13286181
395088.639480252,6881352.51506406
393701.939264311,6881627.02165737
391976.633849782,6881574.54967671
402476.542518029,6880907.31765825
396858.341689899,6880569.38980628
376753.830216119,6880899.95253491
393060.165654862,6880037.53060146
388044.657544905,6880136.44434236
387966.533333333,6880002.4
386409.746252696,6880448.70416778
371596.219926969,6879957.63239437
397579.502090247,6878857.5326754
384428.461558464,6879450.92457826
401147.506544969,6878046.69657168
393665.943333333,6878302.20111111
393646.240032785,6877961.45379517
377945.317340139,6885377.5715582
376787.761892461,6888035.53440171
398503.971622261,6891074.11038941
396530.634468712,6893048.25777268
396736.74253854,6893512.33915323
402061.676629073,6895599.46434837
401261.311280656,6898212.5961499
391327.010399197,6909495.20889977
375862.11137509,6888076.70652748
400879.787621842,6899921.79424264
385355.706976261,6881109.86004798
372104.104540967,6880370.7923001
373802.700051329,6883763.93045888
373665.493837735,6886557.72062812
378345.197431853,6907332.52986435
381845.379053584,6889320.57466945
384997.695661572,6880047.84498996
402906.291026446,6904195.560882
390861.050715206,6900828.37097048
394656.996895457,6903122.89618251
376295.465296553,6893998.42264279
375180.604472726,6896145.62936602
372258.570667277,6897207.90317606
398667.709791832,6904482.83773477
389077.379517389,6897267.38878092
390147.55,6898132.45
394918.999806396,6897172.90228987
390303.668567908,6897525.53465364
374632.197879398,6890883.15010465
375326.760827566,6892027.89520617
402225.532432432,6898107.31351351
378446.25394642,6895736.55982839
401872.530502098,6897681.0936044
400528.600657775,6897113.85590173
400810.982943937,6897811.92746643
400164.890258382,6899051.64373761
395533.003417489,6907777.53769063
375974.525363405,6885230.5341101
377542.175908781,6901020.7242194
401228.010311672,6899834.1516967
378410.724075459,6905046.55801477
386136.596295094,6896821.83790353
386069.058430346,6896761.02563623
397406.449731801,6902607.30057107
378535.44792403,6898294.29620719
396266.300435762,6900914.59115904
399935.399793921,6907751.40680062
395529.790309294,6907573.19951322
399301.126520681,6899725.25279805
371653.968383081,6891640.81115018
371783.839111593,6893487.08197905
371795.948765432,6897728.81721273
371746.914871857,6897675.38442073
373826.553389413,6888337.46508059
374600.979170902,6890837.48042471
372626.286868687,6888934.33131313
372362.841314554,6889199.45070423
372658.73811887,6890061.52392473
373295.264555053,6888699.00633484
373900.106378258,6891542.17457571
372906.641972125,6891404.08471787
374956.038309074,6891098.84149892
373426.28974359,6891256.3
373924.83934336,6892755.00986059
373937.71968759,6892655.24775322
373939.849707559,6892684.84197563
374045.739651568,6892629.67207898
373948.25,6895355.1
372887.165468957,6895248.65057684
374118.9,6894625.35
372097.022247282,6894252.29079034
374896,6895032.1
374417.489419994,6894529.19057612
373010.476295056,6899177.45479868
373034.334255599,6898537.23364954
375309.522157269,6892864.79583495
375250.29116126,6892943.50662906
375203.432433037,6893150.80140357
375362.081095872,6892544.28075426
375510.621909103,6892558.70147303
375204.665907153,6892715.35216616
375276.197811481,6893101.80921972
375230.159066667,6893314.8848
375387.027083333,6894554.1
401441.130230719,6898266.86105071
371492.383623843,6908484.31394448
373281.388379205,6900408.53669725
373162.350826972,6900338.82277354
372975.399834847,6900106.71334985
372399.784798535,6900700.01924908
373091.866666667,6900891.26666666
373356.42228212,6901197.63725666
374669.139649123,6904454.53824561
373918.001083032,6905399.28342024
373161.786953231,6905250.45050199
375605.529256595,6901365.93057554
375022.069341767,6902834.52888581
375174.983921569,6903060.70862745
375944.031137474,6903462.6708439
373856.814858268,6906809.61368031
373941.844732577,6906581.88897893
373905.377908161,6906605.82921286
373926.407375948,6906617.17155251
373884.220636483,6906606.32998688
373802.660678333,6909426.38483007
374240.457131274,6909855.21229222
383098.172722603,6885245.97619896
382952.98111332,6892029.30178927
383795.486538087,6909581.64961454
403072.923202614,6904125.35653595
403071.374855864,6909714.6655181
403014.213069986,6909838.79152377
403061.711365454,6909743.98895453
403020.175266303,6909796.39988309
403051.728722496,6909800.66507154
403032.176923077,6909737.43653846
403195.836840173,6909220.08004223
402935.480104084,6909805.40498775
402975.410974973,6909748.97849646
401888.282081493,6909746.32120766
401878.257552247,6909895.53926681
402055.375968845,6909884.76530483
402074.29030303,6909913.83212121
402042.135498415,6909895.54822776
401871.406112161,6909834.82123503
401997.469648836,6909845.4263672
401935.373718226,6909819.76290168
401870.004765239,6909859.79811856
401877.467445704,6909788.07491124
401906.399966919,6909872.06570645
402028.797133557,6909863.16241075
401907.382783054,6909800.58888175
401873.365649706,6909721.5282198
401917.671709443,6909909.19477451
401969.211258331,6909826.35756618
401284.604607554,6909505.71597018
401324.356149197,6909469.31870012
401379.34610402,6909442.30738553
401414.597215683,6909441.90404307
401761.458590394,6909625.62310296
401773.77799258,6909722.21950791
401768.460739895,6909690.38601575
401683.086396505,6909601.38036557
401790.377218406,6909702.63012453
401716.811857568,6909558.91636557
401929.860053123,6909858.73691169
401859.670929764,6909642.07312638
401906.457984006,6909843.66508041
401851.735497773,6909690.49197197
400546.391902072,6909185.30730278
400633.398785555,6909888.21163311
400580.127953839,6909175.47681314
400593.45179197,6909209.26397197
400608.594882846,6909171.12109119
400628.16708586,6909904.298027
401085.530791999,6909737.92829403
401117.707839799,6909752.55021019
400980.821520189,6909740.45567352
401014.296318639,6909746.37289795
401357.852720732,6909559.15540256
401348.872039373,6909423.75662617
401347.645263079,6909574.93863214
399728.723332795,6909143.29837989
399958.751901841,6909854.99558282
399940.935697701,6909825.71989928
399905.428195188,6909787.53346871
399890.823705125,6909639.41067872
399900.313953488,6909627.82635659
399904.651029494,6909656.24641069
399903.093592681,6909590.27902011
399748.708282539,6909161.56456593
400296.173347548,6909202.52594172
400331.733582306,6909199.91986701
400512.380753303,6909594.85731282
400496.172620058,6909227.1115476
400486.107456549,6909180.26529912
397925.7,6909420.5
397773.247781241,6909208.11659246
397791.762918197,6909583.52685204
397947.316210827,6909421.14894004
398734.2816,6909423.03013333
398568.283822994,6909430.31390637
398591.223092369,6909550.52751004
398747.256698488,6909393.50005569
398573.463318948,6909559.11943769
398591.134391575,6909444.28830605
398745.262429126,6909143.66102656
398709.054555035,6909401.87758601
396639.331891859,6909317.82375455
396730.595421607,6909391.48649539
396802.410988426,6909481.01664228
396746.387166205,6909381.31246603
396769.865396831,6909403.72706795
396732.914747362,6909410.32701468
397450.119413233,6909821.70049938
397444.025180938,6909913.52669616
397487.529208925,6909594.50045398
